,gecko_id,Master Category,category,Subcategory,missing_data,discount_rate,token_value_accrual,moat,tam,leadership,tva_multiplier,S_raw,P_original,unlock_adjustment,unlock_adjustment_pct,P,S,G,G_metric_used,P_to_S,P_to_SG,P_to_S_risk_adj,valuation_ratio,valuation_method,fundamental_score,Moat,TAM,Leadership,Token Value Accrual,Liquidity,Inflation Expectations,Market Leadership,competitive_dynamics,blended_points,in_selected,discount,final_quality_score,is_stock_proxy,stock_close_latest,stock_volume_latest,stock_mcap_latest,weight
0,ethereum,Base Layer,L1,L1,No discount rate; ,,4.5,5.0,5.0,5.0,0.9,198721249.33701655,280436624257.0,0.0,0.0,280436624257.0,178849124.4033149,-0.8285657046635073,tvl_growth,1568.0066938689595,9146.400320841653,,1568.0066938689595,P/S (G missing/≤0),3.0,5.0,5.0,5.0,4.5,5,5.0,5.0,5.0,4.966666666666666,True,0.1,4.47,False,,,,15.85
1,hyperliquid,Finance,Perps,Perps,No discount rate; ,,4.5,5.0,5.0,5.0,0.9,892559096.160221,9755898615.0,15412043164.7292,157.97666389268028,25167941779.729202,803303186.5441989,0.04137945448136214,open_interest_growth,31.33056385348277,30.08563662232641,,30.08563662232641,P/S/(1+G) [no D],4.0,5.0,5.0,5.0,4.5,5,3.0,5.0,5.0,4.833333333333333,True,0.05,4.591666666666666,False,,,,3.1
2,bitcoin,Base Layer,L1,L1,No discount rate; ,,4.5,5.0,4.5,5.0,0.9,79822767.54143646,1574951390746.0,0.0,0.0,1574951390746.0,71840490.78729282,-0.6617109800414847,tvl_growth,21922.892974230323,64805.21589769228,,21922.892974230323,P/S (G missing/≤0),2.0,5.0,4.5,5.0,4.5,5,5.0,5.0,5.0,4.833333333333332,True,0.125,4.229166666666666,False,,,,34.19
3,HOOD,Centralized,CEX,CEX,No discount rate; ,,5.0,5.0,4.0,5.0,1.0,4613000192.0,66331209728.0,0.0,0.0,66331209728.0,4613000192.0,0.151,yfinance_revenue_growth,14.379190758117359,12.492780849797878,,12.492780849797878,P/S/(1+G) [no D],4.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,4.7333333333333325,True,0.025,4.614999999999999,True,73.66000366210938,25183900.0,58278667752.0849,8.13
4,COIN,Centralized,CEX,CEX,No discount rate; ,,5.0,5.0,4.0,5.0,1.0,6883438080.0,50504376320.0,0.0,0.0,50504376320.0,6883438080.0,-0.222,yfinance_revenue_growth,7.337085876713516,9.430701641019944,,7.337085876713516,P/S (G missing/≤0),4.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,4.7333333333333325,True,0.025,4.614999999999999,True,191.25,6697800.0,42656644417.5,7.1
5,solana,Base Layer,L1,L1,No discount rate; ,,4.5,4.0,4.5,5.0,0.9,246503671.57458565,48592055172.0,40753735245.42856,83.86913272380362,89345790417.42856,221853304.41712707,-0.942949636809367,tvl_growth,402.72463217154166,7059.107245747818,,402.72463217154166,P/S (G missing/≤0),3.0,4.0,4.5,5.0,4.5,5,5.0,4.0,4.0,4.5666666666666655,True,0.07500000000000001,4.224166666666666,False,,,,6.0
6,uniswap,Finance,Dex,DEX,No discount rate; ,,4.25,4.0,4.0,5.0,0.8500000000000001,671847310.6906077,2051870642.0,486000000.00000006,23.685703672151863,2537870642.0,571070214.0870166,-1.3155050789675042,trading_volume_growth,4.444060606553178,-14.085543792500715,,4.444060606553178,P/S (G missing/≤0),5.0,4.0,4.0,5.0,4.25,5,5.0,5.0,4.5,4.549999999999999,True,0.0,4.549999999999999,False,,,,1.41
7,CRCL,Centralized,Stablecoin,Stables,No discount rate; ,,4.0,3.0,4.5,5.0,0.8,2746641920.0,26512728064.0,0.0,0.0,26512728064.0,2746641920.0,-0.032986942713095074,fees_growth,9.652779225040009,9.982056759525333,,9.652779225040009,P/S (G missing/≤0),4.0,3.0,4.5,5.0,4.0,5,5.0,5.0,4.0,4.533333333333332,True,0.025,4.419999999999999,True,99.69999694824219,10017200.0,22781027471.98625,4.79
8,binancecoin,Centralized,CEX,CEX,No growth metrics; No discount rate; ,,3.75,5.0,4.0,5.0,0.75,,83510642511.0,84781555148.5357,101.52185709428387,168292197659.5357,1.0,,,168292197659.5357,,,168292197659.5357,P/S (G missing/≤0),1.0,5.0,4.0,5.0,3.75,5,5.0,4.0,4.5,4.516666666666666,True,0.25,3.3874999999999993,False,,,,5.18
9,MSTR,Centralized,other,DAT,No market cap; ,,5.0,5.0,3.5,5.0,1.0,,58598373099.0249,0.0,0.0,,1.0,,,,,,,Missing P/S,,5.0,3.5,5.0,5.0,5,3.0,5.0,5.0,4.466666666666667,True,0.0,4.466666666666667,True,177.1699981689453,21538400.0,58598373099.0249,7.24
